sid,LAST_NAME,FIRST_NAME,dob,AgeNow,SEX,Theft,Priorsx,custdynoX,PriorVlntY,PriorPropY,PriorOthY,VLNTX,PROPX,RECIDX,PERS_VLNTY,PERS_PROPY,PERS_RECIDY,PRPT_VLNTY,PRPT_PROPY,PRPT_RECIDY,STAT_VLNTY,STAT_PROPY,STAT_RECIDY,p_vlntx,p_propx,p_recidx,p_pers_vlnty,p_pers_propy,p_pers_recidy,p_prpt_vlnty,p_prpt_propy,p_prpt_recidy,p_stat_vlnty,p_stat_propy,p_stat_recidy,vlntlst5,proplst5,othlst5,change_date
97141,SACCHETTI,DORIS,11/16/1948,91,M,0,0,0,0,0,1,8,1,2,9,1,3,3,11,16,8,1,2,3,0,0,4,0,0,0,23,27,3,0,0,0,0,0,3/16/2018
113987,SOBOL,LEROY,8/19/1936,101,M,0,0,0,5,1,9,13,22,0,28,3,0,13,22,0,25,3,0,8,63,0,41,1,0,8,63,0,34,1,0,0,0,0,12/19/2017
217259,GLAZER,EUGENE,1/27/1944,94,M,0,0,0,1,0,2,10,1,1,12,1,0,6,7,2,10,1,1,5,0,0,7,0,0,1,9,0,5,0,0,0,0,0,1/27/2018
355498,KEARNS,GORDON,8/21/1977,91,M,0,0,0,2,0,3,13,1,1,15,2,0,8,6,2,13,1,1,9,0,0,12,0,0,3,8,0,9,0,0,0,0,0,11/21/2018
432419,MEDIN,RICHARD,5/5/1988,90,M,0,0,0,1,1,1,10,3,1,11,3,1,6,11,4,10,3,1,5,1,0,7,1,0,1,25,0,5,1,0,0,0,0,5/6/2018
493108,PARNAS,LEWIS,12/30/1997,90,M,0,0,0,1,0,0,9,1,3,11,1,4,4,10,20,9,1,3,4,0,0,6,0,0,0,20,42,4,0,0,0,0,0,12/30/2017
453317,IMMEL,EARL,2/14/1985,63,M,0,0,0,1,1,2,15,2,6,17,3,8,12,14,24,15,2,6,13,1,1,17,1,3,8,33,58,13,1,1,0,0,0,11/21/2018
421481,GARLITZ,JOHN,1/8/1970,88,M,0,0,0,2,0,3,13,1,1,15,2,0,8,6,2,13,1,1,10,0,0,12,0,0,3,8,0,10,0,0,0,0,0,1/8/2018
429592,MCGUIRE,PAT,5/2/1982,86,M,0,0,0,1,0,0,10,1,3,11,1,5,5,9,22,10,1,3,5,0,0,6,0,0,1,18,50,5,0,0,0,0,0,5/3/2018
400161,HOPKINSON,DOUGLAS,5/8/1981,87,M,0,0,0,1,0,0,9,1,3,11,1,5,5,9,22,9,1,3,5,0,0,6,0,0,1,18,48,5,0,0,0,0,0,5/8/2018
519879,BERTHOFF,DELBERT,1/27/1983,95,M,0,0,0,2,0,1,13,1,12,13,1,12,6,13,48,12,1,4,9,0,14,9,0,14,2,30,93,7,0,0,0,0,0,11/17/2018
683463,BORN,RICHARD,10/17/1973,95,M,0,0,0,2,0,0,13,1,16,13,1,16,5,13,55,11,1,5,8,0,26,8,0,26,1,32,97,6,0,1,0,0,0,10/17/2018
829155,CELANT,DAVE,3/9/1989,89,M,0,0,0,1,0,3,7,8,7,13,1,1,7,8,7,11,1,1,2,13,2,8,0,0,2,13,2,6,0,0,0,0,0,11/21/2018
874336,GASKO,LEWIS,3/14/1985,93,M,0,0,0,1,1,1,6,14,14,11,2,2,6,14,14,10,2,2,2,36,20,7,0,0,2,36,20,5,0,0,0,0,0,3/15/2018
806134,ARGON,CARL,8/17/1976,92,M,0,0,0,0,0,2,10,1,3,10,1,3,5,9,17,9,1,2,5,0,0,5,0,0,1,18,30,4,0,0,0,0,0,8/17/2018
818946,HANSER,ADOLPH,1/29/1979,89,M,0,0,0,1,1,3,5,17,6,12,3,1,5,17,6,11,2,1,1,49,1,8,1,0,1,49,1,6,1,0,0,0,0,11/21/2018
949445,ELION,WILLIAM,12/19/1981,86,M,0,0,0,1,0,1,5,7,4,12,2,1,5,7,4,10,1,1,1,9,0,7,0,0,1,9,0,5,0,0,0,0,0,11/21/2018
926757,SPEIRS,CLARENCE,2/9/1960,88,M,0,0,0,1,0,2,11,1,1,12,2,1,6,6,3,11,1,1,6,0,0,8,0,0,2,8,0,6,0,0,0,0,0,11/21/2018
953615,DOWNING,BRUCE,1/30/1980,88,M,0,0,0,2,0,3,13,1,1,15,2,0,8,6,2,13,1,1,10,0,0,13,0,0,3,8,0,10,0,0,0,0,0,1/30/2018
988265,PHILLIPS,RICHARD,12/25/1998,89,M,0,0,0,1,0,1,10,1,2,11,1,3,4,10,15,10,1,2,5,0,0,6,0,0,1,19,25,5,0,0,0,0,0,12/26/2017
1013702,CLEMENTE,DEWAYNE,8/19/1976,72,M,0,0,0,1,0,5,16,2,2,18,2,1,13,6,4,16,2,2,14,0,0,17,1,0,9,9,0,14,0,0,0,0,0,8/19/2018
1023448,SATAN,THOMAS,7/8/1989,89,M,0,0,0,4,1,2,21,4,4,21,1,4,15,11,19,19,1,3,25,2,0,25,0,0,13,22,38,20,0,0,0,0,0,11/21/2018
1145778,PROCTER,DAVID,8/18/1985,93,M,0,0,0,1,0,3,11,1,1,12,1,2,6,10,10,11,1,1,6,0,0,8,0,0,1,19,9,6,0,0,0,0,0,8/19/2018
1146391,REDMAN,BURT,7/23/1983,85,M,0,0,0,5,1,8,27,2,0,30,3,0,19,10,1,27,2,0,38,1,0,47,1,0,19,19,0,38,1,0,0,0,0,11/21/2018
